TransactionDate,PostedDate,Description,Amount,CategoryId,CategoryName,InclusionStatus
2025-02-13,2025-02-14,"AMAZON.COM * G67OS5NF3 VANCOUVER BC",39.12,"uncategorized","Uncategorized",Include
2025-02-13,2025-02-14,"KELOWNA ORTHODONTICS KELOWNA BC",75.00,"personal-care","Personal Care",Include
2025-02-14,2025-02-17,"APPLE.COM/BILL TORONTO ON",49.69,"cell-phones","Cell Phones",Include
2025-02-14,2025-02-17,"SHOPPERS DRUG MART #22 KELOWNA BC",5.92,"personal-care","Personal Care",Include
2025-02-14,2025-02-17,"PrimeVideo.c*W15F26XZ3 www.amazon.caBC",5.59,"entertainment","Entertainment",Include
2025-02-15,2025-02-17,"DOMINO©S PIZZA #39022 250-861-5731 BC",46.98,"fast-food","Fast Food",Include
2025-02-15,2025-02-17,"BOOSTER JUICE # 541 PO KELOWNA BC",16.78,"fast-food","Fast Food",Include
2025-02-19,2025-02-19,"TIM HORTONS #1459 250-863-9709 BC",12.98,"fast-food","Fast Food",Include
2025-02-19,2025-02-20,"AMAZON* 6E8J06ZH3 VANCOUVER BC",22.39,"uncategorized","Uncategorized",Include
2025-02-19,2025-02-20,"IGA72 KELOWNA BC",7.15,"groceries","Groceries",Include
2025-02-20,2025-02-20,"TIM HORTONS #1459 250-863-9709 BC",3.14,"fast-food","Fast Food",Include
2025-02-21,2025-02-21,"McDonalds 29032 KELOWNA BC",17.41,"fast-food","Fast Food",Include
